P1,P2,P3,P4
8.775858736184236619e-01,4.932606154156918876e+01,-9.725085948863232943e+01,-4.255466094506514452e+01
8.998922030048804865e-01,5.015929507920779429e+01,-9.723893069435816017e+01,-4.335330899126363846e+01
9.218294260032546816e-01,5.097874096867808191e+01,-9.722719928774432674e+01,-4.413874168093376227e+01
9.432499000583133286e-01,5.177888415071272732e+01,-9.721574422385501180e+01,-4.490567287146414088e+01
9.640059826148232869e-01,5.255420956604440619e+01,-9.720464445775432694e+01,-4.564881642024344188e+01
9.839500311175517488e-01,5.329920215540577999e+01,-9.719397894450641218e+01,-4.636288618466029732e+01
1.002934403011265463e+00,5.400834685952953862e+01,-9.718382663917543596e+01,-4.704259602210336766e+01
1.020811455740731510e+00,5.467612861914834355e+01,-9.717426649682553830e+01,-4.768265978996129917e+01
1.037433546750716529e+00,5.529703237499487045e+01,-9.716537747252083079e+01,-4.827779134562272390e+01
1.052653033485988043e+00,5.586554306780179502e+01,-9.715723852132549609e+01,-4.882270454647630942e+01
1.066322273391312470e+00,5.637614563830179293e+01,-9.714992859830364580e+01,-4.931211324991068068e+01
1.078293623911457111e+00,5.682332502722752565e+01,-9.714352665851943414e+01,-4.974073131331451236e+01
1.088419442491189049e+00,5.720156617531168308e+01,-9.713811165703700112e+01,-5.010327259407643652e+01
1.096552086575275364e+00,5.750535402328692669e+01,-9.713376254892048678e+01,-5.039445094958509941e+01
1.102543913608482473e+00,5.772917351188593216e+01,-9.713055828923404533e+01,-5.060898023722915440e+01
1.106247281035577679e+00,5.786750958184137517e+01,-9.712857783304180259e+01,-5.074157431439724775e+01
1.107514546301327618e+00,5.791484717388593140e+01,-9.712790013540791279e+01,-5.078694703847801861e+01
5.799999999999840838e-01,5.676999999999999602e+01,-9.799000000000000909e+01,-5.104000000000002046e+01
6.459951160171059081e-01,5.674510863242613823e+01,-9.793962480570652929e+01,-5.106005455558261019e+01
8.388546298147141478e-01,5.667236783980739290e+01,-9.779241185927608626e+01,-5.111866058694533166e+01
1.150889790012173730e+00,5.655467758729799499e+01,-9.755423011538364619e+01,-5.121348164101059552e+01
1.574411845228848250e+00,5.639493784005217947e+01,-9.723094852870416105e+01,-5.134218126470081955e+01
2.101732044084102746e+00,5.619604856322418129e+01,-9.682843605391261121e+01,-5.150242300493842151e+01
2.725161635197302257e+00,5.596090972196823543e+01,-9.635256164568396287e+01,-5.169187040864581917e+01
3.437011867187810932e+00,5.569242128143857684e+01,-9.580919425869318218e+01,-5.190818702274543028e+01
4.229593988674991145e+00,5.539348320678944759e+01,-9.520420284761523533e+01,-5.214903639415965841e+01
5.095219248278208823e+00,5.506699546317507554e+01,-9.454345636712510270e+01,-5.241208206981093554e+01
6.026198894616831225e+00,5.471585801574970276e+01,-9.383282377189773626e+01,-5.269498759662167942e+01
7.014844176310218948e+00,5.434297082966755710e+01,-9.307817401660810219e+01,-5.299541652151428650e+01
8.053466341977737031e+00,5.395123387008288773e+01,-9.228537605593119508e+01,-5.331103239141119587e+01
